laua,region_name,year,population,population_growth_pct,net_additions,price,pop_change,hpi
E07000061,South East,2019,9193770.0,0.47567032358148964,39066.0,245000.0,43732.03550833792,1.119439807206725
E07000061,South East,2020,9225273.0,0.3426559507144544,39135.0,250000.0,31610.946904153872,0.8077410733142678
E07000061,South East,2021,9295829.0,0.7648120548844561,41237.0,271500.0,71095.6207934452,1.724073545443296
E07000061,South East,2022,9392970.0,1.0449955566093072,42217.0,290000.0,98156.11913364525,2.3250377604672345
E07000061,South East,2023,9529446.0,1.4529589682496624,38784.0,283475.0,138458.94028150872,3.5700015542880754
E07000061,South East,2024,9642942.0,1.1910031286183953,34872.0,280000.0,114847.74091085726,3.2934084913643398
E07000062,South East,2015,8969638.0,0.8512322449131027,33251.0,171000.0,76352.45090797872,2.296245253014307
E07000062,South East,2016,9053011.0,0.9295023946339853,33847.0,195000.0,84147.9540314781,2.4861273977450913
E07000062,South East,2017,9105076.0,0.575112523336152,36959.0,208000.0,52364.43233527438,1.4168249231655181
E07000062,South East,2018,9150245.0,0.49608591954641845,38537.0,220000.0,45393.077049000174,1.1779089459221053
E07000062,South East,2019,9193770.0,0.47567032358148964,39066.0,225000.0,43732.03550833792,1.119439807206725
E07000062,South East,2020,9225273.0,0.3426559507144544,39135.0,238500.0,31610.946904153872,0.8077410733142678
E07000062,South East,2021,9295829.0,0.7648120548844561,41237.0,270000.0,71095.6207934452,1.724073545443296
E07000062,South East,2022,9392970.0,1.0449955566093072,42217.0,290000.0,98156.11913364525,2.3250377604672345
E07000062,South East,2023,9529446.0,1.4529589682496624,38784.0,280000.0,138458.94028150872,3.5700015542880754
E07000062,South East,2024,9642942.0,1.1910031286183953,34872.0,280000.0,114847.74091085726,3.2934084913643398
E07000063,South East,2015,8969638.0,0.8512322449131027,33251.0,278750.0,76352.45090797872,2.296245253014307
E07000063,South East,2016,9053011.0,0.9295023946339853,33847.0,297500.0,84147.9540314781,2.4861273977450913
E07000063,South East,2017,9105076.0,0.575112523336152,36959.0,315000.0,52364.43233527438,1.4168249231655181
E07000063,South East,2018,9150245.0,0.49608591954641845,38537.0,320000.0,45393.077049000174,1.1779089459221053
E07000063,South East,2019,9193770.0,0.47567032358148964,39066.0,325000.0,43732.03550833792,1.119439807206725
E07000063,South East,2020,9225273.0,0.3426559507144544,39135.0,340000.0,31610.946904153872,0.8077410733142678
E07000063,South East,2021,9295829.0,0.7648120548844561,41237.0,372995.0,71095.6207934452,1.724073545443296
E07000063,South East,2022,9392970.0,1.0449955566093072,42217.0,395995.0,98156.11913364525,2.3250377604672345
E07000063,South East,2023,9529446.0,1.4529589682496624,38784.0,399950.0,138458.94028150872,3.5700015542880754
E07000063,South East,2024,9642942.0,1.1910031286183953,34872.0,387750.0,114847.74091085726,3.2934084913643398
E07000064,South East,2015,8969638.0,0.8512322449131027,33251.0,249999.0,76352.45090797872,2.296245253014307
E07000064,South East,2016,9053011.0,0.9295023946339853,33847.0,265000.0,84147.9540314781,2.4861273977450913
E07000064,South East,2017,9105076.0,0.575112523336152,36959.0,278000.0,52364.43233527438,1.4168249231655181
E07000064,South East,2018,9150245.0,0.49608591954641845,38537.0,285000.0,45393.077049000174,1.1779089459221053
E07000064,South East,2019,9193770.0,0.47567032358148964,39066.0,295500.0,43732.03550833792,1.119439807206725
E07000064,South East,2020,9225273.0,0.3426559507144544,39135.0,325000.0,31610.946904153872,0.8077410733142678
E07000064,South East,2021,9295829.0,0.7648120548844561,41237.0,343747.5,71095.6207934452,1.724073545443296
E07000064,South East,2022,9392970.0,1.0449955566093072,42217.0,365000.0,98156.11913364525,2.3250377604672345
E07000064,South East,2023,9529446.0,1.4529589682496624,38784.0,355000.0,138458.94028150872,3.5700015542880754
E07000064,South East,2024,9642942.0,1.1910031286183953,34872.0,365000.0,114847.74091085726,3.2934084913643398
E07000065,South East,2015,8969638.0,0.8512322449131027,33251.0,275000.0,76352.45090797872,2.296245253014307
E07000065,South East,2016,9053011.0,0.9295023946339853,33847.0,294972.5,84147.9540314781,2.4861273977450913
E07000065,South East,2017,9105076.0,0.575112523336152,36959.0,310000.0,52364.43233527438,1.4168249231655181
E07000065,South East,2018,9150245.0,0.49608591954641845,38537.0,319950.0,45393.077049000174,1.1779089459221053
E07000065,South East,2019,9193770.0,0.47567032358148964,39066.0,315000.0,43732.03550833792,1.119439807206725
E07000065,South East,2020,9225273.0,0.3426559507144544,39135.0,345000.0,31610.946904153872,0.8077410733142678
E07000065,South East,2021,9295829.0,0.7648120548844561,41237.0,368000.0,71095.6207934452,1.724073545443296
E07000065,South East,2022,9392970.0,1.0449955566093072,42217.0,395000.0,98156.11913364525,2.3250377604672345
E07000065,South East,2023,9529446.0,1.4529589682496624,38784.0,385000.0,138458.94028150872,3.5700015542880754
E07000065,South East,2024,9642942.0,1.1910031286183953,34872.0,385000.0,114847.74091085726,3.2934084913643398
E07000066,East of England,2015,6098262.0,0.9726102450840157,21057.0,230000.0,59312.3209840654,2.8167507709581328
E07000066,East of England,2016,6161075.0,1.0300147812606353,23864.0,270000.0,63459.98318455368,2.659234964153272
E07000066,East of England,2017,6202843.0,0.677933639827466,24153.0,282500.0,42051.15932268319,1.7410325559012623
E07000066,East of England,2018,6237376.0,0.5567285839735092,28317.0,295000.0,34725.25508190351,1.2263041664690295
E07000066,East of England,2019,6274179.0,0.5900397859612827,28375.0,300000.0,37020.15234242775,1.3046749724203612
E07000066,East of England,2020,6297779.0,0.37614483106076513,25661.0,320000.0,23688.770180130345,0.9231429086992068
E07000066,East of England,2021,6349646.0,0.8235760575275863,27457.0,340000.0,52294.164193758086,1.9045840475564733
E07000066,East of England,2022,6402514.0,0.8326133456888707,30771.0,360000.0,53308.18602359834,1.7324164318221162
E07000066,East of England,2023,6493348.0,1.418723957495449,28643.0,350000.0,92122.6837195516,3.2162372558583807
E07000066,East of England,2024,6576306.0,1.2775843832796285,26012.0,350000.0,84017.8584526812,3.229965341099539
E07000067,East of England,2015,6098262.0,0.9726102450840157,21057.0,230000.0,59312.3209840654,2.8167507709581328
E07000067,East of England,2016,6161075.0,1.0300147812606353,23864.0,255000.0,63459.98318455368,2.659234964153272
E07000067,East of England,2017,6202843.0,0.677933639827466,24153.0,266000.0,42051.15932268319,1.7410325559012623
E07000067,East of England,2018,6237376.0,0.5567285839735092,28317.0,280000.0,34725.25508190351,1.2263041664690295
E07000067,East of England,2019,6274179.0,0.5900397859612827,28375.0,290000.0,37020.15234242775,1.3046749724203612
E07000067,East of England,2020,6297779.0,0.37614483106076513,25661.0,300000.0,23688.770180130345,0.9231429086992068
E07000067,East of England,2021,6349646.0,0.8235760575275863,27457.0,320000.0,52294.164193758086,1.9045840475564733
E07000067,East of England,2022,6402514.0,0.8326133456888707,30771.0,345000.0,53308.18602359834,1.7324164318221162
E07000067,East of England,2023,6493348.0,1.418723957495449,28643.0,350000.0,92122.6837195516,3.2162372558583807
E07000067,East of England,2024,6576306.0,1.2775843832796285,26012.0,345000.0,84017.8584526812,3.229965341099539
E07000068,East of England,2015,6098262.0,0.9726102450840157,21057.0,340000.0,59312.3209840654,2.8167507709581328
E07000068,East of England,2016,6161075.0,1.0300147812606353,23864.0,400000.0,63459.98318455368,2.659234964153272
E07000068,East of England,2017,6202843.0,0.677933639827466,24153.0,415000.0,42051.15932268319,1.7410325559012623
E07000068,East of England,2018,6237376.0,0.5567285839735092,28317.0,425000.0,34725.25508190351,1.2263041664690295
E07000068,East of England,2019,6274179.0,0.5900397859612827,28375.0,415000.0,37020.15234242775,1.3046749724203612
E07000068,East of England,2020,6297779.0,0.37614483106076513,25661.0,467750.0,23688.770180130345,0.9231429086992068
E07000068,East of England,2021,6349646.0,0.8235760575275863,27457.0,469375.0,52294.164193758086,1.9045840475564733
